id,valve_type,nominal_dn,pressure_rating,material,seal_material,actuator,media,status,zone,power_kw,install_date,stock,safety_stock,lead_time_days
V001,球阀,50,PN16,不锈钢,PTFE,电动,水,在用,一车间,2.5,2021-03-15,25,30,15
V002,闸阀,80,PN25,碳钢,EPDM,手动,蒸汽,备用,二车间,5.0,2020-07-20,12,30,15
V003,球阀,100,PN16,不锈钢,PTFE,气动,化工介质,在用,一车间,3.2,2022-01-10,8,30,15
V004,蝶阀,150,PN10,铸铁,NBR,电动,水,故障,三车间,7.5,2019-11-05,40,30,15
V005,止回阀,65,PN25,不锈钢,金属,手动,蒸汽,在用,二车间,4.0,2021-06-30,55,30,15
V006,闸阀,50,PN16,碳钢,EPDM,手动,水,待修,一车间,2.8,2018-04-18,6,30,15
V007,蝶阀,200,PN10,铸铁,NBR,气动,化工介质,在用,三车间,9.0,2020-09-12,20,30,15
V008,球阀,80,PN25,不锈钢,PTFE,电动,水,备用,一车间,3.5,2022-08-22,70,30,15
V009,安全阀,25,PN40,碳钢,金属,手动,蒸汽,在用,二车间,1.5,2023-02-14,15,30,15
V010,止回阀,100,PN16,不锈钢,金属,电动,化工介质,在用,三车间,6.2,2021-10-01,3,30,15
